,root_id,top_nt,hemibrain_type,super_class,cell_class,cell_type,side,ito_lee_hemilineage,hc_cell_type
40285,720575940634523232,acetylcholine,NA,ascending,AN,,left,NA,AN2
40843,720575940611772914,acetylcholine,NA,ascending,AN,,right,NA,AN2
41188,720575940605076401,acetylcholine,NA,ascending,AN,,right,NA,AN2
40622,720575940616449093,acetylcholine,NA,ascending,AN,,left,NA,AN3
40253,720575940636444742,acetylcholine,NA,ascending,AN,,left,NA,AN4
42064,720575940625479370,acetylcholine,NA,ascending,AN,,right,NA,AN4
39806,720575940626648634,acetylcholine,NA,ascending,AN,,left,NA,
39852,720575940608996450,acetylcholine,NA,ascending,AN,,left,NA,
39857,720575940611832490,acetylcholine,NA,ascending,AN,,left,NA,
39979,720575940619079152,acetylcholine,NA,ascending,AN,,left,NA,
40138,720575940624138569,acetylcholine,NA,ascending,AN,,left,NA,
40434,720575940623725616,acetylcholine,NA,ascending,AN,,left,NA,
40497,720575940627604471,acetylcholine,NA,ascending,AN,,left,NA,
40589,720575940621363469,acetylcholine,NA,ascending,AN,,left,NA,
40611,720575940624372738,acetylcholine,NA,ascending,AN,,left,NA,
40626,720575940627108967,acetylcholine,NA,ascending,AN,,left,NA,
40733,720575940644591668,acetylcholine,NA,ascending,AN,,left,NA,
41005,720575940620375766,acetylcholine,NA,ascending,AN,,right,NA,
41206,720575940628435151,acetylcholine,NA,ascending,AN,,right,NA,
41486,720575940630440645,acetylcholine,NA,ascending,AN,,right,NA,
41500,720575940635139439,acetylcholine,NA,ascending,AN,,right,NA,
41786,720575940632716698,acetylcholine,NA,ascending,AN,,right,NA,
41860,720575940640012173,acetylcholine,NA,ascending,AN,,right,NA,
41993,720575940612836374,acetylcholine,NA,ascending,AN,,right,NA,
41826,720575940624910887,gaba,NA,ascending,AN,,right,NA,
40045,720575940614784710,glutamate,NA,ascending,AN,,left,NA,
40559,720575940642422157,glutamate,NA,ascending,AN,,left,NA,AN1
41051,720575940614138577,glutamate,NA,ascending,AN,,right,NA,AN1
41045,720575940619762341,serotonin,NA,ascending,AN,,right,NA,AN5
41118,720575940624928137,serotonin,NA,ascending,AN,,right,NA,AN5
